ID,LHML,LHEB,LHHD,RHML,RHEB,RHHD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFHD,RFMLD,RFAPD,LTML.Gold,LTML,LTPB,LTMLD,LTAPD,RTML.Gold,RTML,RTPB,RTMLD,RTAPD
AMNH 3153,NA,NA,NA,294,50.05,36.59,NA,NA,NA,231,10.39,8.48,427,423,60.19,36.99,21.61,22.19,419,416,68.76,36.57,22.6,24.73,NA,343,NA,16.58,22.54,NA,345,58.37,16.85,23.76
AMNH 3154,294,60.93,42.1,299,61.06,42.06,233,14.54,11.05,233,14.87,10.23,428,426,77.8,43.33,28.05,24.1,427,425,76.15,43.33,25.64,25.1,354,358,69.61,20.02,30.9,355,360,69.35,18.71,29.69
AMNH 3134,312,59.37,41.37,316,60.05,44.05,239,13.4,11.66,241.5,14.22,11.72,429,426,76.82,43.79,25.31,27.89,429,427,73.95,44.87,24.36,28.08,359,362,72.21,21.01,24.99,359,361,69.49,20.95,24.96
AMNH 99.1/316,278,54.65,38.12,285,54.32,40.36,205,14.37,10.21,208,14.2,9.55,398,395,74.21,41.27,25.19,30.1,394,393,68.5,41.81,25.03,28.15,314,321,65.72,19.29,26.6,320,323,63.79,17.78,25.82
AMNH 99.1/329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMNH 99.1/334,282,52.13,40.68,291,53.58,41.05,215,12.54,9.87,216,14.29,10.1,403.5,401,73.27,41.98,24.81,30.13,400,399,72.09,41.66,25.1,30.21,326,329,69.18,20.4,27.42,326,333,67.49,20.31,27.84
AMNH 99.1/336,306,63.28,48.48,310,62.53,47.88,233,13.95,11.4,235,14.37,11.45,440,437,83.6,48.49,27.87,32.08,434,433,84.63,49.62,26.67,32.34,358,361.5,79.24,21.86,29.61,354,355.5,75.21,21.16,28.77
AMNH 99.1/338,282,58.03,41.06,289.5,58.82,41.22,221,14.07,10.47,220,14.37,10.14,420,413,72.71,43.56,25.75,29.87,423,417,73.09,44.14,25.46,29.69,337,343,67.75,24.95,29.08,338,343,69.72,23.12,28.4
AMNH 99.1/338,280.5,59,39.95,291,59,40.2,219,15.01,9.94,220,14.06,10.34,419.5,413,72,43.95,25.71,29.85,425,418,73,43.61,25.22,29.26,335,343,66.21,26.03,24.17,335,343,69.41,23.76,28.46
AMNH 99.1/339,310.5,58.9,44.66,316.5,58.17,42.63,240,14.93,11.72,240,17.27,11.49,447,446,81.75,46.74,28.52,35.79,447,443,81.22,47.81,28.72,36.09,362,370,77.06,21.58,31.82,364,368,78.1,20.93,30.93
